split,window_hours,duration_hours,strategy,n_days,mean_emissions_g_for_1kWh_job,mean_reduction_vs_immediate_g,reduction_vs_immediate_pct,reduction_vs_immediate_ci7d_low_g,reduction_vs_immediate_ci7d_high_g,reduction_vs_immediate_ci1d_low_g,reduction_vs_immediate_ci1d_high_g,reduction_vs_immediate_ci14d_low_g,reduction_vs_immediate_ci14d_high_g,mean_reduction_vs_daily_seasonal_g,reduction_vs_daily_seasonal_pct,reduction_vs_daily_ci7d_low_g,reduction_vs_daily_ci7d_high_g,reduction_vs_daily_ci1d_low_g,reduction_vs_daily_ci1d_high_g,reduction_vs_daily_ci14d_low_g,reduction_vs_daily_ci14d_high_g,oracle_potential_captured,mean_start_delay_hours,median_start_delay_hours,p95_start_delay_hours
test,6,3,Climatology,183,113.56010928961749,38.41256830601093,25.275969939951818,34.4398679417122,42.3325591985428,35.156397996357015,41.64676684881602,33.85935792349727,43.13335610200364,0.8670309653916217,0.7577144403498864,0.2348588342440809,1.6029371584699459,0.14382969034608398,1.8042349726775955,0.21855646630236825,1.6739981785063756,0.9905587261326007,3.0,3.0,3.0
test,6,3,DailySeasonal,183,114.42714025500909,37.54553734061931,24.70545227907423,33.459722222222226,41.60421220400728,34.213706739526415,40.94726775956284,32.72761839708561,42.490072859744984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682002865262219,2.8469945355191255,3.0,3.0
test,6,3,HistGradientBoosting,183,113.99453551912568,37.978142076502735,24.9901118262558,33.82597905282332,42.0502049180328,34.69742714025501,41.2796903460838,33.240163934426235,42.895514571948986,0.43260473588342513,0.37806130164516427,-0.4909608378870668,1.3297586520947176,-0.4262750455373398,1.4272313296903452,-0.43720400728597386,1.3606557377049189,0.9793560205735222,2.80327868852459,3.0,3.0
test,6,3,Immediate,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.54553734061931,-32.81174139015131,-41.60421220400729,-33.459722222222226,-40.94726775956284,-34.21370673952642,-42.490072859744984,-32.72761839708561,0.0,0.0,0.0,0.0
test,6,3,Oracle,183,113.19398907103825,38.778688524590166,25.51688180935601,35.06919398907104,42.49726775956284,35.652641165755924,41.93645264116576,34.52365664845172,43.30289162112932,1.2331511839708564,1.0776736893211616,0.4826502732240442,2.1057377049180324,0.5282103825136613,2.170309653916212,0.4125455373406195,2.1849271402550094,1.0,2.8469945355191255,3.0,3.0
test,6,3,Persistence,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.54553734061931,-32.81174139015131,-41.60421220400729,-33.459722222222226,-40.94726775956284,-34.21370673952642,-42.490072859744984,-32.72761839708561,0.0,0.0,0.0,0.0
test,6,3,RandomForest,183,113.99089253187613,37.981785063752284,24.9925089592847,33.866780510018216,42.037408925318765,34.64933970856102,41.316985428051,33.26293260473588,42.90541894353369,0.43624772313296956,0.3812449757642813,-0.4217440801457188,1.326070127504554,-0.3816256830601092,1.4134790528233154,-0.37618397085610145,1.3270491803278681,0.9794499635970785,2.759562841530055,3.0,3.0
test,6,3,WeeklySeasonal,183,115.36520947176685,36.607468123861565,24.088190524133132,32.2349043715847,40.92907559198543,33.276662112932605,39.9820810564663,31.29048269581057,41.74139344262295,-0.938069216757741,-0.8197960856726704,-2.5528233151183954,0.3342440801457195,-2.3943989071038243,0.487295081967213,-2.593010018214935,0.2504781420765031,0.9440099579604969,2.8524590163934427,3.0,3.0
test,12,1,Climatology,183,100.95628415300547,57.243169398907106,36.184176439094315,51.475,62.67493169398907,52.38510928961749,62.1478825136612,50.73989071038251,63.814480874316935,4.745901639344262,4.489880321555044,2.721243169398907,6.759631147540983,2.713046448087432,6.888114754098359,2.871584699453552,6.710587431693987,0.8864396022847472,6.9890710382513666,7.5,9.0
test,12,1,DailySeasonal,183,105.70218579234972,52.49726775956284,33.18422825167095,46.060109289617486,58.852595628415294,47.267418032786885,57.830669398907105,45.14624316939891,60.22684426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8129469007827373,6.909836065573771,7.0,11.0
test,12,1,HistGradientBoosting,183,102.34699453551913,55.85245901639344,35.30508972211188,49.00184426229509,62.48647540983606,50.49719945355191,61.04651639344262,47.69118852459016,64.05744535519126,3.3551912568306013,3.174192881329646,1.2049180327868851,5.3855191256830555,0.9016393442622951,5.967281420765027,1.4340846994535519,5.161270491803278,0.8649037444467949,6.360655737704918,6.5,10.5
test,12,1,Immediate,183,158.19945355191257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.49726775956284,-49.66526223279138,-58.852595628415294,-46.060109289617486,-57.830669398907105,-47.26741803278689,-60.22684426229508,-45.14624316939893,0.0,0.0,0.0,0.0
test,12,1,Oracle,183,93.62295081967213,64.57650273224044,40.81967496243588,58.48087431693989,70.62841530054645,59.546243169398906,69.63121584699454,57.475,71.80621584699453,12.079234972677595,11.427611342311371,10.087295081967213,14.092896174863387,10.032718579234972,14.45908469945355,10.229439890710383,14.002800546448086,1.0,6.896174863387978,7.0,11.0
test,12,1,Persistence,183,158.19945355191257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.49726775956284,-49.66526223279138,-58.852595628415294,-46.060109289617486,-57.830669398907105,-47.26741803278689,-60.22684426229508,-45.14624316939893,0.0,0.0,0.0,0.0
test,12,1,RandomForest,183,103.01639344262296,55.18306010928962,34.88195367955648,48.34398907103825,61.72957650273224,50.06823770491803,60.309836065573755,46.9146174863388,63.401707650273224,2.685792349726776,2.5409052136376564,0.45901639344262296,4.882581967213114,0.2731557377049181,5.254166666666666,0.3823770491803279,4.96181693989071,0.8545377617939496,6.062841530054645,6.0,10.0
test,12,1,WeeklySeasonal,183,104.31147540983606,53.887978142076506,34.063314968653394,47.35976775956284,60.20512295081967,48.85484972677595,59.06871584699453,45.706420765027325,62.07404371584699,1.3907103825136613,1.3156874402253989,-1.8662568306010927,4.355259562841529,-1.287090163934426,4.049180327868853,-2.052049180327869,4.193989071038251,0.8344827586206897,6.912568306010929,7.0,11.0
test,12,3,Climatology,183,100.94262295081967,51.03005464480874,33.57844018553809,46.17732240437159,55.74596994535519,46.422381602914385,55.60746812386157,45.714822404371574,56.60956284153005,3.7969034608378864,3.625091301172132,2.100136612021858,5.490960837887068,2.0491347905282336,5.770491803278689,2.173929872495447,5.41712204007286,0.9202154740593539,6.420765027322404,6.5,9.0
test,12,3,DailySeasonal,183,104.73952641165758,47.23315118397084,31.08002828616973,41.981489071038254,52.56841985428051,42.510587431693985,52.09970400728597,41.42340619307833,53.438501821493624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8517466209003265,5.901639344262295,6.0,9.0
test,12,3,HistGradientBoosting,183,102.16757741347904,49.80510018214935,32.77240420457132,44.16452641165756,55.310610200364295,44.96152094717668,54.58943533697631,43.27249544626594,56.40803734061931,2.5719489981785064,2.455566762895203,0.6475409836065584,4.449931693989071,0.5755464480874323,4.759631147540983,0.737591074681239,4.329804189435333,0.8981260983100393,5.273224043715847,5.0,9.0
test,12,3,Immediate,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.23315118397084,-45.09582275399114,-52.56841985428051,-41.981489071038254,-52.09970400728598,-42.51058743169399,-53.43850182149363,-41.42340619307833,0.0,0.0,0.0,0.0
test,12,3,Oracle,183,96.51821493624772,55.454462659380695,36.489758249134034,50.54439890710383,60.355236794171226,50.86045081967213,60.09990892531876,50.129212204007274,61.19219034608379,8.221311475409838,7.849292198532225,6.460724043715848,10.016484517304187,6.466279599271403,10.255009107468123,6.5753870673952655,9.989116575591984,1.0,5.885245901639344,6.0,9.0
test,12,3,Persistence,183,151.97267759562843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.23315118397084,-45.09582275399114,-52.56841985428051,-41.981489071038254,-52.09970400728598,-42.51058743169399,-53.43850182149363,-41.42340619307833,0.0,0.0,0.0,0.0
test,12,3,RandomForest,183,103.11566484517303,48.85701275045539,32.148550333800785,43.24118852459016,54.44963570127504,44.15232240437159,53.74437613843351,42.578529143898,55.40915300546447,1.623861566484518,1.5503808563180415,-0.35079690346083653,3.5811247723132973,-0.4016621129326032,3.8270947176684875,-0.2505236794171205,3.442691256830601,0.8810294141799013,5.117486338797814,4.5,9.0
test,12,3,WeeklySeasonal,183,104.59927140255007,47.37340619307832,31.172317907782286,41.882081056466305,52.72167577413478,42.794854280510016,52.02465846994536,40.546174863387975,54.11407103825137,0.1402550091074686,0.1339083857952771,-2.461042805100181,2.4654143897996357,-2.1658925318761377,2.392873406193075,-2.4964708561020026,2.3153005464480856,0.8542758133653039,5.898907103825136,6.0,9.0
test,12,6,Climatology,183,102.78506375227687,29.981329690346087,22.582017115124078,26.812101548269577,33.22644581056466,26.80726320582878,33.12781193078324,26.57864298724954,33.69842896174863,2.0136612021857925,1.9214558221588791,0.937147085610201,3.1470856102003633,0.8709357923497265,3.3588456284153008,1.032741347905282,3.1024704007285973,0.9279502755422758,4.781420765027322,4.5,6.0
test,12,6,DailySeasonal,183,104.79872495446264,27.967668488160296,21.06532215190959,24.642338342440805,31.352982695810567,24.96712204007286,31.043818306010927,24.33257058287796,31.885746812386152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656255725782585,4.281420765027322,4.5,6.0
test,12,6,HistGradientBoosting,183,103.71265938069219,29.053734061930786,21.88334962528511,25.481284153005465,32.68962887067394,25.84641393442623,32.331193078324226,24.965107012750458,33.449544626593806,1.0860655737704918,1.0363347209065867,-0.2263888888888882,2.452743624772311,-0.14080145719489992,2.4890710382513657,-0.3971425318761384,2.4900500910746795,0.8992403207847671,3.8633879781420766,4.0,6.0
test,12,6,Immediate,183,132.76639344262296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.967668488160296,-26.687031259505176,-31.352982695810567,-24.64233834244081,-31.043818306010927,-24.967122040072862,-31.885746812386152,-24.332570582877963,0.0,0.0,0.0,0.0
test,12,6,Oracle,183,100.45719489981786,32.3091985428051,24.33537411466104,29.209892987249546,35.483162568306014,29.21181693989071,35.493454007285976,29.003893442622953,35.98635018214936,4.341530054644808,4.142731752252996,3.216211293260474,5.550671675774131,3.2690118397085604,5.645833333333331,3.3164275956284155,5.458162568306009,1.0,4.278688524590164,4.5,6.0
