split,issue_time,window_hours,duration_hours,strategy,start_offset_hours,emissions_g_for_1kWh_job
test,2024-07-02 17:30:00+00:00,6,3,WeeklySeasonal,3.0,102.33333333333333
test,2024-07-02 17:30:00+00:00,6,3,Climatology,3.0,102.33333333333333
test,2024-07-02 17:30:00+00:00,6,3,HistGradientBoosting,3.0,102.33333333333333
test,2024-07-02 17:30:00+00:00,6,3,RandomForest,3.0,102.33333333333333
test,2024-07-02 17:30:00+00:00,24,3,Immediate,0.0,158.66666666666666
test,2024-07-02 17:30:00+00:00,24,3,Oracle,17.5,56.5
test,2024-07-02 17:30:00+00:00,24,3,Persistence,0.0,158.66666666666666
test,2024-07-02 17:30:00+00:00,24,3,DailySeasonal,6.5,73.33333333333333
test,2024-07-02 17:30:00+00:00,24,3,WeeklySeasonal,17.0,57.5
test,2024-07-02 17:30:00+00:00,24,3,Climatology,17.0,57.5
test,2024-07-02 17:30:00+00:00,24,3,HistGradientBoosting,17.5,56.5
test,2024-07-02 17:30:00+00:00,24,3,RandomForest,14.5,95.33333333333333
test,2024-07-03 17:30:00+00:00,12,1,Immediate,0.0,100.0
test,2024-07-03 17:30:00+00:00,12,1,Oracle,5.5,53.0
test,2024-07-03 17:30:00+00:00,12,1,Persistence,0.0,100.0
test,2024-07-03 17:30:00+00:00,12,1,DailySeasonal,6.0,57.0
test,2024-07-03 17:30:00+00:00,12,1,WeeklySeasonal,6.5,59.5
test,2024-07-03 17:30:00+00:00,12,1,Climatology,7.5,58.5
test,2024-07-03 17:30:00+00:00,12,1,HistGradientBoosting,5.5,53.0
test,2024-07-03 17:30:00+00:00,12,1,RandomForest,5.0,55.5
test,2024-07-03 17:30:00+00:00,12,3,Immediate,0.0,93.66666666666667
test,2024-07-03 17:30:00+00:00,12,3,Oracle,5.0,56.666666666666664
test,2024-07-03 17:30:00+00:00,12,3,Persistence,0.0,93.66666666666667
test,2024-07-03 17:30:00+00:00,12,3,DailySeasonal,5.5,57.0
test,2024-07-03 17:30:00+00:00,12,3,WeeklySeasonal,6.0,58.166666666666664
test,2024-07-03 17:30:00+00:00,12,3,Climatology,5.5,57.0
test,2024-07-03 17:30:00+00:00,12,3,HistGradientBoosting,5.0,56.666666666666664
test,2024-07-03 17:30:00+00:00,12,3,RandomForest,4.0,60.0
test,2024-07-03 17:30:00+00:00,12,6,Immediate,0.0,80.08333333333333
test,2024-07-03 17:30:00+00:00,12,6,Oracle,4.5,57.75
test,2024-07-03 17:30:00+00:00,12,6,Persistence,0.0,80.08333333333333
test,2024-07-03 17:30:00+00:00,12,6,DailySeasonal,4.0,58.916666666666664
test,2024-07-03 17:30:00+00:00,12,6,WeeklySeasonal,4.5,57.75
test,2024-07-03 17:30:00+00:00,12,6,Climatology,4.0,58.916666666666664
test,2024-07-03 17:30:00+00:00,12,6,HistGradientBoosting,3.5,60.916666666666664
test,2024-07-03 17:30:00+00:00,12,6,RandomForest,3.5,60.916666666666664
test,2024-07-03 17:30:00+00:00,6,3,Immediate,0.0,93.66666666666667
test,2024-07-03 17:30:00+00:00,6,3,Oracle,3.0,66.5
test,2024-07-03 17:30:00+00:00,6,3,Persistence,0.0,93.66666666666667
test,2024-07-03 17:30:00+00:00,6,3,DailySeasonal,3.0,66.5
test,2024-07-03 17:30:00+00:00,6,3,WeeklySeasonal,3.0,66.5
test,2024-07-03 17:30:00+00:00,6,3,Climatology,3.0,66.5
test,2024-07-03 17:30:00+00:00,6,3,HistGradientBoosting,3.0,66.5
test,2024-07-03 17:30:00+00:00,6,3,RandomForest,3.0,66.5
test,2024-07-03 17:30:00+00:00,24,3,Immediate,0.0,93.66666666666667
